n,m,r,q
13,7,9.261199428617944e-15,5.673185357123381e-15
13,8,1.3615154209044836e-14,4.3439986113153336e-14
13,9,-1.8346769026221793e-14,4.065881043373344e-15
13,10,5.2072078602159286e-14,-1.7526694709527765e-14
13,11,4.535892492184404e-15,4.819088460506487e-14
13,12,-9.052101854394699e-15,-1.5088900659386734e-14
13,13,2.949418362033125e-14,-2.452543353170665e-16
14,0,2.865869163358757e-14,0.0
14,1,2.304626763101205e-13,1.7300904449731597e-14
14,2,-1.7600432340791398e-14,-6.754275900027482e-14
14,3,7.742057256282907e-14,-7.579628806309089e-14
14,4,-5.94828009514102e-16,3.184332619873069e-14
14,5,2.0302240688984968e-14,1.7574817288283988e-14
14,6,-7.591799988472496e-15,-6.427069928514903e-15
14,7,8.639866608819893e-15,5.2925719946375125e-15
14,8,1.270171505660089e-14,4.052560236926482e-14
14,9,-1.7115886372078678e-14,3.793101545089762e-15
14,10,4.857856875173448e-14,-1.6350830748326405e-14
14,11,4.2315799790815174e-15,4.495776361992528e-14
14,12,-8.44479736714757e-15,-1.407658802465617e-14
14,13,2.751542218476235e-14,-2.2880024976316216e-16
14,14,-4.8017084426776416e-15,2.3307397787340252e-14
15,0,2.685899444723307e-14,0.0
15,1,2.1599017228174554e-13,1.6214449092394956e-14
15,2,-1.6495167349377002e-14,-6.330123552510848e-14
15,3,7.255874605697487e-14,-7.103646273305422e-14
15,4,-5.574742353511268e-16,2.9843641590070484e-14
15,5,1.902730860514077e-14,1.647116086080947e-14
15,6,-7.115053134383479e-15,-6.023465332229153e-15
15,7,8.097303681482764e-15,4.960211151054389e-15
15,8,1.1904077776382189e-14,3.798069161437851e-14
15,9,-1.604104970683147e-14,3.554903853948326e-15
15,10,4.552795099788132e-14,-1.5324037743657825e-14
15,11,3.965846892604474e-15,4.2134523755173584e-14
15,12,-7.914484320924013e-15,-1.319261201537616e-14
15,13,2.5787519581238153e-14,-2.1443214213980576e-16
15,14,-4.5001726543566644e-15,2.1843749036189273e-14
15,15,4.0143132267254553e-16,-2.0365242732856445e-15
16,0,2.527395327268225e-14,0.0
16,1,2.032438530910746e-13,1.5257578965160848e-14
16,2,-1.5521731077172764e-14,-5.956561299819842e-14
16,3,6.827680615412308e-14,-6.68443579784425e-14
16,4,-5.245757730308519e-16,2.8082466174076008e-14
16,5,1.7904442012376716e-14,1.549914129364647e-14
16,6,-6.695169501015498e-15,-5.668000030509856e-15
16,7,7.619454082041997e-15,4.6674921170513405e-15
16,8,1.1201577410715488e-14,3.5739321031240075e-14
16,9,-1.509441247071694e-14,3.3451168125478255e-15
16,10,4.284119081159266e-14,-1.441971383712488e-14
16,11,3.731808696234465e-15,3.964802132287871e-14
