Latitude	Longitude	Geoidal_height
60.391786644	5.907770372	42.760668479
60.386475353	5.767537967	42.915315729
60.387366925	5.656690590	43.037594421
60.543140072	5.264338975	43.479968475
60.530356277	5.256638336	43.487396860
60.519924149	5.273430936	43.468141976
60.401078679	5.315501946	43.413366843
60.377153840	5.760382689	42.922691158
60.480696954	5.733489909	42.958662596
60.518529649	5.275438875	43.465828874
60.582195243	5.797863592	42.894536959
60.650128124	6.116959162	42.544999221
60.626041575	5.481545802	43.247728357
60.430442416	5.627046285	43.072880836
60.363398765	6.077952293	42.570787928
60.638795654	5.958686243	42.720312715
60.665310441	5.485314802	43.246929032
60.603369178	5.446296010	43.284714621
60.121463706	5.903944704	42.753938181
60.308312873	5.411882470	43.302041977
60.243888525	5.740079005	42.938507563
60.010051531	5.810914216	42.853616351
60.053559911	6.019182608	42.625614600
60.263613774	5.308519376	43.412686592
60.287943480	5.285498075	43.439200403
60.184427841	5.462923446	43.240001453
60.266159950	5.428686428	43.281358559
60.324650550	6.195137003	42.439103152
60.075579805	5.269526484	43.446609233
60.212176731	5.837593221	42.829902613
60.060103257	5.922241274	42.732368671
60.237128657	5.832522022	42.836458607
60.068170262	5.974261993	42.675321280
60.245113392	5.800112735	42.872481484
60.274683720	5.664976864	43.022498103
60.324192584	5.359124734	43.360746628
60.041636723	5.521552881	43.170857044
60.010802790	5.265133109	43.449180003
60.288741997	5.266541917	43.459962167
60.198343224	5.450503916	43.254200388
60.224787529	5.371514824	43.341824257
60.194114733	5.426037460	43.280770302
60.274418149	6.152396344	42.484519400
60.287565183	6.177710594	42.456959707
60.243888525	5.740079005	42.938507563
59.984952493	6.012704328	42.631794081
59.928781876	5.803597517	42.860526321
59.752720335	5.951227748	42.699462611
59.759317980	6.128737587	42.505206531
59.787780879	6.177851104	42.450911923
59.686461658	5.484596695	43.207403881
59.673837240	5.463938087	43.229848639
59.956813970	5.326580979	43.380954132
59.750679635	5.489357948	43.201966567
59.775872852	5.394870784	43.304349691
59.823636421	5.520275464	43.168588850
59.781618266	5.902298569	42.752582878
59.832746257	5.773608736	42.892831559
59.702641650	5.817150539	42.846344810
59.672885068	5.912905971	42.742610059
59.704821363	6.076964591	42.562909719
59.777410568	5.251862343	43.458997850
59.740632230	5.325210323	43.379578253
59.910553730	5.497653843	43.194086494
59.873121889	5.525550777	43.163258106
59.741000623	5.230616309	43.481695617
59.943270466	5.516783810	43.173804154
59.995938123	5.493469876	43.200310531
59.690241432	6.019066080	42.626473105
59.725034888	6.121059915	42.514254795
59.836545968	5.749968327	42.918622168
59.485245543	6.214236969	42.420937310
59.577761391	5.420502037	43.277974788
59.438284559	5.277450747	43.434824721
59.424973304	5.260777420	43.453053603
59.440731125	5.246399886	43.468002397
59.434151759	5.289016102	43.422556075
59.372347437	5.289839955	43.423659767
59.386565693	5.324909419	43.385644721
59.404906882	5.249569829	43.465642174
59.414709207	5.317963441	43.392142236
59.405167996	5.336192125	43.372929531
59.603678388	5.834807491	42.829180492
59.660911676	5.951725886	42.700577338
59.602088628	5.785826869	42.882393225
59.497872298	5.323852471	43.383548962
59.420744782	5.447729858	43.252791692
59.508588123	5.617471455	43.067188806
59.522108208	5.651751188	43.029762611
59.489778336	5.549105412	43.141492174
59.494464161	6.143397982	42.497637067
59.575273620	5.807343330	42.859766866
59.427304288	5.621636150	43.065536448
59.447096974	5.623335993	43.062945722
59.481404723	6.037832580	42.613034089
59.498483033	5.895848695	42.766395402
59.546674873	5.895130364	42.765400473
59.541469204	5.847375192	42.817392478
59.491971064	5.737642465	42.937923892
59.575358598	5.704321009	42.971421549
59.476205669	5.687279341	42.992902446
59.017502724	5.598702797	43.115447720
59.017706163	5.598690572	43.115443512
59.286224169	5.286159180	43.431037307
59.320968394	5.289867539	43.425593425
59.224753793	6.210593877	42.441831942
59.152456955	6.160585592	42.501901393
59.102506036	6.170079826	42.496173786
58.942408639	6.023214129	42.669892232
58.812026701	6.000278536	42.709344344
58.961851475	5.769003148	42.939214060
58.906713052	6.068186988	42.625750463
58.984504791	5.699541446	43.011047336
58.739041786	5.647376135	43.092137923
58.765016104	5.842532168	42.882643473
58.725639702	5.671879331	43.067889579
58.931257099	5.721813381	42.992422756
58.781848363	5.836303274	42.887205098
58.766586902	5.876983228	42.845927059
58.835963462	6.069431864	42.632737732
58.771454200	5.859163452	42.864225921
58.894916455	6.053494963	42.642792904
58.996709548	6.036248779	42.650264116
58.822124252	5.715867014	43.010185787
58.520199219	6.095928735	42.649254024
58.463818445	5.999257200	42.760303320
58.480133265	5.878560802	42.884522850
58.518444770	5.803398993	42.957545225
58.614585069	5.647708710	43.107443954
58.566996924	5.697540636	43.061624604
58.533949966	6.148394063	42.591603074
62.781929236	6.982240935	41.897262859
62.836655325	7.039679001	41.843888710
62.732383972	7.093880411	41.758651161
62.737904711	7.158507800	41.685914493
62.754874455	6.997870083	41.873395569
62.848013689	7.175937786	41.690596492
62.724772641	6.983624264	41.883028471
62.632036592	6.834602874	42.032991968
62.447378489	6.358281217	42.536057980
62.409163137	6.252658139	42.647971832
62.427314070	6.317706935	42.577956168
62.556805909	7.133292363	41.675596419
62.581857039	7.144470749	41.668116613
62.348383254	6.806638584	42.005966600
62.625033846	7.143785717	41.678143842
62.596931612	6.902400498	41.948087967
62.618720339	7.092747137	41.735196678
62.624235529	7.032130051	41.805712919
62.615099932	6.952967225	41.894224707
62.627372395	7.087138764	41.743473802
62.496019055	6.701810779	42.155584249
62.390780447	6.570382011	42.283573061
62.427858858	6.780437316	42.051911917
62.486891978	6.535044703	42.343477113
62.446860649	6.747217918	42.093676033
62.361447810	6.265998998	42.623184786
62.373561582	6.314693158	42.570438985
62.463029526	6.833280434	41.998865040
62.476354158	6.763459871	42.081246456
62.381388686	7.016726676	41.772703564
62.492148101	6.873393864	41.959120257
62.479020616	6.706939870	42.146210381
62.351123607	6.836275716	41.972708818
62.536432901	6.572047638	42.311751792
62.627997282	7.160733230	41.659379632
62.545355826	7.149146733	41.655028010
62.530498904	7.128149529	41.675937333
62.570881996	7.083196687	41.735907183
62.578304955	6.916496566	41.928024234
62.622418585	6.998638855	41.843608251
62.484722615	6.486599275	42.398089762
62.503128709	6.718881884	42.137616422
62.509111759	6.686003136	42.176320374
62.417584160	6.946311153	41.860507843
62.384045389	6.982011254	41.812918679
62.367266390	7.086428684	41.690149247
62.482396413	6.825331647	42.011939957
62.478702107	6.453834787	42.434062346
62.468110908	6.371897551	42.524887289
62.407383194	6.549275690	42.310946359
62.464035353	6.241006952	42.672439900
62.293774122	6.878867460	41.912737525
62.306461891	6.612816260	42.218421282
62.205808197	6.476737570	42.353481100
62.023754501	6.747347037	42.011853385
62.311230994	7.056389206	41.713360072
62.286221865	7.217647146	41.523869736
62.269728075	6.882036815	41.904412373
62.333667733	7.083919642	41.686311887
62.088510846	6.862877444	41.891951758
62.062768530	6.324357808	42.499419100
62.123294905	6.920739202	41.832353786
62.095954098	7.207116001	41.499916987
62.144982864	6.292048592	42.551367192
62.193251901	6.411725220	42.424872243
61.912053552	6.748685495	41.990677242
61.739823612	6.507575951	42.235878786
61.863754570	6.581151808	42.172900733
61.882052246	6.710117311	42.029429077
61.864075889	6.756864897	41.973193623
61.898177190	7.105899193	41.580871849
61.999395442	6.610724744	42.162930422
61.719241053	6.521296267	42.217018781
61.766669348	6.221425132	42.564124839
61.800848918	6.810887528	41.901192001
61.754282424	6.278728263	42.497324642
61.933146590	6.522468869	42.251479446
61.921209469	7.025157966	41.677037149
61.804171917	6.524285478	42.227453188
61.868013307	6.866210945	41.849329504
61.580522777	6.492720329	42.227941068
61.555553748	6.363881169	42.369969279
61.423851524	6.770796871	41.890422089
61.382801329	6.235037080	42.490699982
61.334671360	6.284861770	42.428088366
61.344985104	6.923804014	41.706370642
61.435931288	6.777670663	41.884251663
61.161526092	6.911055963	41.699110068
61.303607647	7.215064663	41.369796053
61.261161454	7.161641842	41.425642175
61.160279410	6.544946256	42.113204187
61.204159587	6.660272468	41.987984969
61.172487897	6.651763478	41.993939816
61.182876572	6.712960176	41.925916464
61.187911791	7.020702839	41.577584529
61.206098095	7.164027785	41.416645737
61.181995066	6.779527270	41.850463079
61.252695864	7.033893189	41.570002140
61.059342607	6.543995844	42.103149982
61.311988926	6.573384081	42.099432650
61.112747958	6.429292928	42.238227465
61.190532322	6.232647890	42.468596741
61.277522738	6.507166293	42.169924944
61.121894283	6.340029123	42.339752394
61.297491832	7.007281391	41.605601776
61.207105830	6.600626317	42.055765071
61.134240675	6.270254771	42.419646033
61.237905681	7.098337748	41.494996645
61.178760978	6.853143450	41.766692168
61.067283910	6.538684804	42.109980996
61.223407115	7.105610428	41.485064235
61.216727360	6.558837749	42.104123668
61.328982304	7.212713836	41.375545726
61.292271451	7.163831192	41.426818356
61.172073779	6.632271288	42.015925128
60.756707936	6.496444809	42.128724063
60.973555113	6.505992794	42.137199636
60.691649556	6.466981325	42.156852577
60.876049588	7.144223948	41.407418133
60.805658621	6.670694064	41.936748608
60.835151996	6.682553377	41.925805002
60.860453166	7.110138312	41.444804824
60.975440713	6.513695456	42.128713970
60.903271942	7.172530411	41.377533627
60.907076708	7.192203456	41.355526238
60.793115084	6.516096081	42.109574254
60.837728501	6.679683439	41.929252013
60.903167597	7.173007198	41.376984101
60.929276594	6.443263380	42.203471515
60.752604724	7.106612776	41.440825959
60.812116745	7.120654817	41.429181219
60.669607934	6.805631815	41.774955203
60.680462051	6.581844004	42.027227009
60.588119575	6.635302164	41.961273670
60.482692145	6.994687499	41.552127697
60.458126688	7.082605672	41.452167882
60.414595327	6.373013926	42.245278484
60.567456078	6.913675087	41.647332554
60.515569699	6.914661687	41.643628016
60.601461790	6.558732996	42.047934087
60.626188655	6.398884318	42.228513398
60.373443790	6.248445848	42.382013758
60.525547322	6.720610201	41.862092575
60.489702825	6.648906931	41.940658013
60.577539532	6.782407796	41.795507896
60.557295280	6.913616574	41.646868253
60.406393540	6.732283675	41.843583985
60.376458210	6.709039291	41.868469823
60.335495997	6.655474067	41.926932357
60.471018303	6.835254716	41.730818159
60.630055724	6.424795858	42.199783265
60.429579163	6.432564606	42.179589373
60.088478945	6.536457257	42.054226349
60.251421967	6.620221099	41.963828905
60.272550399	6.237535960	42.390070693
60.013187105	6.558553155	42.029336931
59.737819579	6.653007208	41.929218077
59.787750265	6.758006014	41.811604475
59.849534625	7.125337928	41.401790348
59.840585216	6.983842073	41.559540395
59.824001575	6.233419431	42.389401926
59.832714029	6.812159749	41.750370075
59.678867472	6.499284371	42.100602351
59.873077747	6.376406611	42.231446680
59.722557342	6.561589669	42.030535688
59.818890197	7.208074500	41.310622262
59.837395690	6.861613257	41.695391804
59.911390867	6.549802912	42.039532737
59.992966320	6.566447911	42.020596553
59.350448305	6.233463318	42.407849429
59.450892240	6.243346498	42.391028097
59.656196852	6.399902070	42.210589391
59.641719057	6.330339176	42.287389222
59.431636974	6.442165549	42.175332431
59.458627165	6.412415973	42.206186347
59.354298419	6.227193783	42.414404766
59.647911265	6.796840197	41.774015361
59.311059652	6.339939632	42.294933127
59.241508343	6.292835410	42.351430842
59.129915101	6.249766525	42.407687895
59.041606677	7.161717747	41.426876222
59.012302237	6.939738205	41.672785288
58.907665997	6.760457277	41.881158205
58.842140631	6.776790756	41.872710726
58.913582929	6.736801780	41.905943475
58.877372128	6.826120951	41.814334974
58.697853373	6.728543743	41.946779940
58.754704389	6.744361269	41.920778445
58.807304758	6.273086401	42.418869428
58.838255077	6.255020514	42.434170981
58.684824170	6.748036382	41.927963081
58.812644819	6.770486594	41.883840555
58.908698770	6.855760313	41.777841412
58.588225436	6.720997214	41.973329254
58.489503309	6.781924324	41.926229212
58.480163706	7.206636772	41.472998420
58.490483615	7.188420680	41.490464660
58.638688799	6.516489313	42.183481120
