Latitude	Longitude	Geoidal_height
62.816618803	7.239069242	41.599233658
62.711113217	7.727044032	40.871016102
62.763575385	7.405048644	41.340935451
62.755581022	7.334116092	41.431980368
62.891893478	8.018430235	40.590714473
62.914414086	8.194344103	40.366352500
62.667317619	8.016987787	40.449412834
62.706410321	8.139161880	40.308097222
62.798057273	8.202438741	40.280538721
62.765582020	8.049661081	40.467412671
62.912659232	8.206748988	40.348372009
62.765415140	7.275219181	41.517947109
62.746676059	7.244634119	41.547537503
62.702482381	7.702904359	40.898329717
62.987108942	7.307373660	41.615215235
62.835887665	7.808383530	40.839931108
62.877640687	7.317916406	41.531229420
62.923025214	7.447524569	41.384707955
62.835690332	7.807591292	40.840880169
62.675203787	7.545767562	41.094376761
62.916417252	8.173298886	40.396226328
62.773276385	7.990581690	40.552587658
63.000372260	7.945093525	40.760144043
62.572711832	7.656881924	40.879232905
62.471759153	7.793608189	40.630585048
62.541944644	7.592516409	40.947434264
62.581096987	7.696516340	40.830647373
62.568406721	7.630234380	40.912730088
62.609432771	7.540810428	41.059796283
62.531730028	7.495995318	41.072108893
62.529995951	7.417516824	41.177527123
62.606367686	7.300915341	41.383244997
62.501530264	7.565305300	40.959244066
62.546597994	7.639866403	40.886034070
62.550921143	7.660098495	40.861252349
62.565306512	7.602795932	40.948051541
62.434264892	7.893461732	40.471600712
62.593351076	7.346297596	41.313594748
62.365357635	8.040468768	40.229157419
62.555341073	7.693331315	40.818870742
62.605921834	7.316317500	41.362089584
62.623308827	7.537393299	41.073130600
62.292346303	8.127950416	40.065456795
62.297295984	7.264005957	41.242737641
62.025784239	7.492494422	40.770156284
62.010356859	7.682192662	40.503358476
62.287686609	8.133199672	40.055475717
62.091429781	7.222251179	41.175732488
62.291421900	7.282589539	41.213959574
62.075759206	7.236127997	41.147621315
62.029999699	7.275518402	41.067170103
62.260362006	8.205651367	39.940246839
62.013756403	7.630258511	40.575933732
61.944683014	7.295516757	40.990118557
61.958917498	7.382367949	40.880548806
61.977100894	7.515682593	40.710144418
61.899996448	8.210114619	39.721267835
61.407123655	7.279206537	40.713058190
61.498002129	7.741326661	40.135368606
61.501126032	7.806639169	40.048445995
61.549704609	7.901172653	39.946216517
